VT,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
VTX00155,0,0,0,0,0,0,0,0,0,0,3,0,4,5,10,79,0,0,0,0,0,0,0,0,0,0,0,0,27,13,0,75
VTX00156,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1157,0,2730
VTX00159,0,0,0,0,0,0,0,0,0,0,0,0,20,1,132,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
VTX00160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
VTX00163,0,0,0,0,0,0,0,0,0,0,1,0,0,2500,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,1123
VTX00165,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
VTX00166,0,0,0,0,0,0,0,0,0,0,1979,0,4905,0,4642,3790,0,0,0,0,0,0,0,0,0,0,0,0,950,0,0,0
VTX00167,0,0,0,5,0,4,0,0,0,0,8,0,0,0,0,70,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0
VTX00172,0,0,0,0,0,0,0,0,0,0,0,0,0,995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,252
VTX00175,0,0,0,0,0,0,0,0,2,0,0,0,0,0,295,654,1054,0,0,0,0,0,0,0,0,0,0,0,646,0,0,13
VTX00178,0,0,0,0,494,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,220,144,0,0,1,0,0,0,0,0,1,0
VTX00180,0,0,0,0,0,0,0,0,881,0,0,0,0,0,47,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,1074,0
VTX00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,2,0
VTX00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
VTX00185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,2940,0,0,0
VTX00186,0,0,0,0,0,0,0,0,1,0,7,0,181,0,543,71,3,0,0,1,0,0,0,0,0,649,0,0,5,0,0,5
VTX00188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
VTX00193,0,0,0,23,0,0,0,0,122,0,12,0,0,31,5,33,41,31,57,51,0,0,0,0,0,0,0,0,25,0,0,0
VTX00194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00202,0,0,0,0,0,0,0,0,3414,0,863,0,0,3964,320,0,0,0,0,0,0,0,0,0,0,0,0,0,2483,0,0,0
VTX00204,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1300,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
VTX00206,0,0,0,0,0,0,0,0,0,0,545,0,2147,0,1133,3,324,0,0,0,0,0,0,0,0,0,0,0,408,6585,544,0
VTX00209,0,7,0,2,0,0,0,0,0,0,1,0,1490,2039,1384,2447,0,0,0,0,0,0,0,0,11,31,0,0,4630,260,0,921
VTX00210,0,498,0,1681,0,0,0,0,0,0,0,0,0,0,0,0,464,1134,0,529,0,0,0,0,0,0,0,0,0,0,786,0
VTX00212,0,0,0,0,0,0,0,0,0,0,0,0,4,9420,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1061,5699
VTX00213,0,0,0,11,0,0,0,0,0,0,0,0,64,0,33,46,44,18,3,29,0,0,0,0,0,0,0,0,67,0,1,6
VTX00214,0,0,0,103,0,0,0,0,0,0,0,0,404,3,246,429,38,128,42,0,0,0,0,0,22,0,0,0,688,13038,2,2867
VTX00215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,11,1,6,0,0,0,0,4,0,0,0,0,0,0,6
VTX00219,755,0,0,145,0,0,0,0,0,0,0,0,51,0,615,90,78,415,4,287,0,0,0,0,354,1,0,1,22,0,17,19
VTX00222,0,1222,0,59,0,0,0,0,0,0,0,0,0,0,0,1084,0,3,296,2660,0,0,0,0,0,0,0,0,2329,0,0,0
VTX00227,0,1216,0,0,0,458,0,56,6445,0,186,530,9461,0,1333,0,0,0,0,767,0,0,0,0,448,0,0,0,0,0,582,1332
VTX00234,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VTX00238,0,0,0,0,0,0,0,0,14,156,0,0,0,0,362,0,0,3,1,2,0,0,0,0,0,0,7,18,0,0,61,0
VTX00239,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0
VTX00247,194,0,0,0,0,0,0,51,62,0,32,0,115,262,53,97,0,69,0,100,31,20,5,178,56,104,107,17,309,20,0,0
