SampleID,SB01,SB02,SB03,SB04,SB05,SB06,SB07,SB08,SB09,SB10,SB11,SB12,SB13,SB14,SB15,SB16,XS01,XS02,XS03,XS04,XS05,XS06,XS07,XS08,XS09,XS10,XS11,XS12,XS13,XS14,XS15,XS16
CL00180,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0
CL00168,0,0,0,0,16,16,1,2,0,4,4,0,0,0,0,0,0,0,0,0,44,403,0,0,0,689,6,0,0,0,0,0
CL00159,0,0,0,0,0,0,0,0,2,0,4,678,0,0,0,0,0,0,0,0,0,0,0,0,495,2,1,0,0,0,0,0
CL00165,0,4,4,16,0,0,0,0,0,3,2,3,178,4,231,317,55,1,19,19,0,0,0,0,0,19,6,3,77,58,107,52
CL00171,0,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00152,0,0,0,0,0,0,0,0,1,0,2,0,26,4,0,7,0,0,17,0,41,10,12,1,0,0,1,7,8,1020,0,0
CL00162,0,4,15,0,6,29,11,62,7,90,2,16,16,119,8,15,52,8,17,18,43,33,39,81,28,2,8,99,100,183,0,42
CL00178,24,2,5,92,0,0,0,0,0,0,0,2,32,0,70,168,112,5,21,199,0,0,0,0,0,0,0,0,74,0,318,29
CL00158,0,0,0,0,0,0,8,0,1,44,1,0,688,92,24,0,0,0,0,0,0,0,0,0,0,16,28,52,40,26,6,121
CL00189,38,72,32,118,0,5,3,6,24,5,15,4,12,0,0,15,260,119,88,115,6,2,40,1,11,4,19,15,95,0,0,1
CL00177,5,0,0,612,0,17,0,31,24,22,3,8,5,2,0,0,10,101,50,54,34,16,3,14,45,7,49,8,0,0,0,0
CL00179,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,0,0,3,0,0,0
CL00181,0,48,3,27,30,44,0,36,31,74,31,13,0,0,0,0,32,15,23,240,81,25,115,21,46,72,67,36,0,0,0,0
CL00128,0,0,0,0,6,12,0,1,921,4,0,2,93,8,0,0,0,0,0,0,0,2,0,0,0,0,56,0,0,0,0,0
CL00175,0,0,0,0,0,3,3,0,0,0,0,1,0,10,45,29,0,0,0,0,0,11,581,59,0,0,10,23,0,12,221,96
CL00214,7,0,15,3,0,0,0,0,3,0,0,0,0,0,7,0,132,40,675,29,0,0,0,0,0,0,12,0,162,15,1,0
CL00185,0,482,0,21,0,0,0,11,0,0,97,46,0,0,4,0,0,78,0,0,0,0,0,0,132,219,9,0,0,0,0,0
CL00161,0,0,0,0,0,0,0,0,0,0,1,0,1,227,0,45,0,0,0,0,0,0,0,0,0,3,8,0,357,387,0,69
CL00172,4,0,0,15,3,268,9,16,3,19,0,3,0,0,0,0,0,56,27,11,152,188,48,128,53,19,32,42,0,0,0,0
CL00184,0,0,0,0,0,0,0,0,0,0,0,0,13,0,272,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0
CL00190,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL00196,0,920,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,96,20,40,0,0,0,0,0,0,0,0,0,0,0,0
CL00186,0,0,0,0,2,0,0,4,4,28,2,1,11,34,0,13,0,0,0,0,72,96,4,2,320,35,140,145,50,61,0,41
CL00212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,120,427,72,0,0,337,0,7,0,0,0,0,0,0,0
CL00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,90,0
CL00194,39,122,292,72,0,0,0,0,0,10,30,99,0,0,6,0,2,6,0,18,0,0,0,0,49,43,7,204,0,0,35,0
CL00197,0,0,9,0,1,3,0,0,0,4,0,0,0,0,9,3,97,42,26,7,251,18,23,176,71,30,36,17,0,133,20,47
CL00204,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0
CL00192,0,0,0,0,65,69,66,96,0,47,1,25,3,0,0,0,0,0,0,0,167,60,27,136,20,4,0,220,0,0,0,0
CL00173,0,0,0,194,0,0,0,0,15,0,0,0,0,532,198,13,9,0,1,1,0,0,0,0,0,0,0,0,0,0,34,0
CL00209,0,0,0,0,0,13,834,0,0,0,0,0,22,0,0,0,0,0,0,0,16,45,49,10,4,0,0,0,0,0,0,0
